;; @T(#) @T(#)
;;
;; GENERATE_EDE_TEMPLATES version 2.35 (June 3, 1999)
;; PREPROCESS_1949_DATABASE version 2.3 (June 3, 1999)
;;
;;
;;
;; Point pair table: pptable1
;;
pptable1
	DBL 174.000000000000	DBL 296.147966666477
	DBL 194.000000000000	DBL 287.555033333137
	DBL 212.000000000000	DBL 278.463577777574
	DBL 227.000000000000	DBL 268.755538888677
	DBL 238.000000000000	DBL 258.783411110892
	DBL 255.000000000000	DBL 231.266749999759
	END
;;
;;
;; Point pair table: pptable92
;;
pptable92
	DBL 0.00000000000000	DBL 407.049999999899
	DBL 14.0000000000000	DBL 360.874266666529
	DBL 21.0000000000000	DBL 347.341105555407
	DBL 29.0000000000000	DBL 336.893561110954
	DBL 39.0000000000000	DBL 327.444272222058
	DBL 50.0000000000000	DBL 319.512222222051
	DBL 63.0000000000000	DBL 312.022322222045
	DBL 76.0000000000000	DBL 305.765999999818
	DBL 91.0000000000000	DBL 299.499916666480
	DBL 111.000000000000	DBL 292.112027777585
	DBL 174.000000000000	DBL 271.022822222013
	DBL 194.000000000000	DBL 263.649155555340
	DBL 212.000000000000	DBL 255.808155555334
	DBL 227.000000000000	DBL 247.404538888660
	DBL 238.000000000000	DBL 238.739333333098
	DBL 255.000000000000	DBL 214.668472221967
	END
;;
;;
;; Point pair table: pptable111
;;
pptable111
	DBL 0.00000000000000	DBL -4.00000000000000
	DBL 255.000000000000	DBL 3.96875000000000
	END
;;
;;
;; Point pair table: pptable112
;;
pptable112
	DBL 0.00000000000000	DBL -0.106650000000000
	DBL 255.000000000000	DBL 0.105760000000000
	END
;;
;;
;; Point pair table: pptable127
;;
pptable127
	DBL 0.00000000000000	DBL 388.149999999884
	DBL 32.0000000000000	DBL 348.149999999852
	DBL 37.0000000000000	DBL 343.149999999848
	DBL 43.0000000000000	DBL 338.149999999844
	DBL 57.0000000000000	DBL 328.152516666503
	DBL 66.0000000000000	DBL 323.149999999832
	DBL 76.0000000000000	DBL 318.149999999828
	DBL 87.0000000000000	DBL 313.149077777602
	DBL 99.0000000000000	DBL 308.138888888709
	DBL 125.000000000000	DBL 298.150694444256
	DBL 153.000000000000	DBL 288.151344444248
	DBL 179.000000000000	DBL 278.148061110907
	DBL 191.000000000000	DBL 273.149999999792
	DBL 202.000000000000	DBL 268.148688888677
	DBL 220.000000000000	DBL 258.149999999780
	DBL 255.000000000000	DBL 228.983333333090
	END
;;
;;
;; Point pair table: pptable128
;;
pptable128
	DBL 0.00000000000000	DBL 387.950000000000
	DBL 37.0000000000000	DBL 333.150000000000
	DBL 43.0000000000000	DBL 329.150000000000
	DBL 50.0000000000000	DBL 325.150000000000
	DBL 58.0000000000000	DBL 321.150000000000
	DBL 68.0000000000000	DBL 317.150000000000
	DBL 80.0000000000000	DBL 313.150000000000
	DBL 94.0000000000000	DBL 309.150000000000
	DBL 111.000000000000	DBL 305.150000000000
	DBL 132.000000000000	DBL 301.150000000000
	DBL 157.000000000000	DBL 297.150000000000
	DBL 187.000000000000	DBL 293.150010000000
	DBL 225.000000000000	DBL 289.149990000000
	DBL 255.000000000000	DBL 286.483000000000
	END
;;
;;
;; Point pair table: pptable129
;;
pptable129
	DBL 0.00000000000000	DBL -11.6815600000000
	DBL 98.0000000000000	DBL -6.28400000000000
	DBL 119.000000000000	DBL -6.00000000000000
	DBL 194.000000000000	DBL -5.00000000000000
	DBL 222.000000000000	DBL -4.09691000000000
	DBL 255.000000000000	DBL -3.03255000000000
	END
