"1SSMYT",2,1,1,272,0,8;
"1SSMYT",3,1,1,272,0,8;
"1SSMYT",4,1,1,272,0,8;
"1SSMYT",5,1,1,272,0,8;
"1SSMYT",6,1,6,30,0,8;
"1SSPYT",1,1,2,272,0,8;
"1SSPYT",2,1,2,272,0,8;
"1SSPYT",3,1,2,272,0,8;
"1SSPYT",4,1,2,272,0,8;
"1SSPYT",5,1,2,272,0,8;
"1SSPYT",6,1,102,32,0,8;
"1STAT0ST",1,1,12,515,7,1;
"1STAT0ST",2,1,12,515,7,1;
"1STAT0ST",3,1,12,515,7,1;
"1STAT0ST",4,1,0,970,7,1;
"1STAT0ST",5,1,12,515,7,1;
"1STAT0ST",6,1,12,125,7,1;
"1STAT1ST",1,1,12,515,6,1;
"1STAT1ST",2,1,12,515,6,1;
"1STAT1ST",3,1,12,515,6,1;
"1STAT1ST",4,1,0,970,6,1;
"1STAT1ST",5,1,12,515,6,1;
"1STAT1ST",6,1,12,125,6,1;
"1STAT2ST",1,1,12,515,5,1;
"1STAT2ST",2,1,12,515,5,1;
"1STAT2ST",3,1,12,515,5,1;
"1STAT2ST",4,1,0,970,5,1;
"1STAT2ST",5,1,12,515,5,1;
"1STAT2ST",6,1,12,125,5,1;
"1STAT3ST",1,1,12,515,4,1;
"1STAT3ST",2,1,12,515,4,1;
"1STAT3ST",3,1,12,515,4,1;
"1STAT3ST",4,1,0,970,4,1;
"1STAT3ST",5,1,12,515,4,1;
"1STAT3ST",6,1,12,125,4,1;
"1STAT4ST",1,1,12,515,3,1;
"1STAT4ST",2,1,12,515,3,1;
"1STAT4ST",3,1,12,515,3,1;
"1STAT4ST",4,1,0,970,3,1;
"1STAT4ST",5,1,12,515,3,1;
"1STAT4ST",6,1,12,125,3,1;
"1STAT5ST",1,1,12,515,2,1;
"1STAT5ST",2,1,12,515,2,1;
"1STAT5ST",3,1,12,515,2,1;
